index,value,weight,type
2142,5089.4800000000005,1,high
2151,4990.58,1,low
2151,4990.58,1,low
2151,4990.58,1,low
2166,5123.49,1,high
2166,5123.49,1,high
2166,5123.49,1,high
2185,5013.45,1,low
2188,5096.12,1,high
2191,5011.05,1,low
2191,5011.05,1,low
2191,5011.05,1,low
2199,5139.12,1,high
2218,5200.2300000000005,1,high
2218,5200.2300000000005,1,high
2222,5165.86,1,low
2238,5239.66,1,high
2238,5239.66,1,high
2238,5239.66,1,high
2246,5237.26,1,high
2250,5211.16,1,low
2258,5217.9800000000005,1,low
2272,5325.49,1,high
2272,5325.49,1,high
2272,5325.49,1,high
2283,5283.59,1,low
2283,5283.59,1,low
2288,5325.32,1,high
2288,5325.32,1,high
2294,5297.87,1,low
2300,5324.32,1,high
2307,5286.01,1,low
2310,5341.88,1,high
2310,5341.88,1,high
2310,5341.88,1,high
2310,5341.88,1,high
2316,5256.93,1,low
2316,5256.93,1,low
2316,5256.93,1,low
2320,5311.650000000001,1,high
2326,5315.91,1,high
2326,5315.91,1,high
2334,5262.7,1,low
2353,5191.68,1,low
2353,5191.68,1,low
2353,5191.68,1,low
2353,5191.68,1,low
2358,5302.11,1,high
2358,5302.11,1,high
2362,5234.32,1,low
2369,5257.63,1,low
2382,5362.35,1,high
2390,5331.33,1,low
2390,5331.33,1,low
2394,5375.08,1,high
2394,5375.08,1,high
2398,5331.52,1,low
2404,5365.79,1,high
2406,5327.25,1,low
2406,5327.25,1,low
2406,5327.25,1,low
2420,5447.25,1,high
2420,5447.25,1,high
2420,5447.25,1,high
2425,5402.51,1,low
2425,5402.51,1,low
2428,5439.38,1,high
2431,5403.75,1,low
2443,5488.5,1,high
2448,5471.32,1,low
2454,5505.53,1,high
2454,5505.53,1,high
2454,5505.53,1,high
2462,5452.03,1,low
2462,5452.03,1,low
2471,5490.66,1,high
2471,5490.66,1,high
2482,5446.56,1,low
2482,5446.56,1,low
2482,5446.56,1,low
2488,5451.87,1,low
2495,5490.81,1,high
2499,5467.54,1,low
2503,5523.64,1,high
2503,5523.64,1,high
2503,5523.64,1,high
2511,5446.53,1,low
2511,5446.53,1,low
2511,5446.53,1,low
2511,5446.53,1,low
2518,5458.43,1,low
2539,5583.11,1,high
2542,5562.51,1,low
2553,5574.57,1,low
2564,5642.45,1,high
2564,5642.45,1,high
2568,5576.53,1,low
2568,5576.53,1,low
2581,5666.9400000000005,1,high
2581,5666.9400000000005,1,high
2585,5614.75,1,low
2593,5669.67,1,high
2593,5669.67,1,high
2593,5669.67,1,high
2593,5669.67,1,high
2604,5614.05,1,high
2615,5497.04,1,low
2615,5497.04,1,low
2629,5585.34,1,high
2629,5585.34,1,high
2629,5585.34,1,high
2644,5390.95,1,low
2644,5390.95,1,low
2644,5390.95,1,low
2647,5491.59,1,high
2647,5491.59,1,high
2655,5488.32,1,high
2661,5444.4400000000005,1,low
2667,5489.46,1,high
2671,5401.7,1,low
2671,5401.7,1,low
2683,5566.16,1,high
2683,5566.16,1,high
2683,5566.16,1,high
2693,5302.03,1,low
2699,5193.56,1,low
2699,5193.56,1,low
2699,5193.56,1,low
2699,5193.56,1,low
2708,5330.64,1,high
2713,5195.54,1,low
2713,5195.54,1,low
2733,5371.2,1,high
2763,5525.17,1,low
2779,5620.51,1,high
2783,5585.5,1,low
2788,5632.68,1,high
2790,5591.57,1,low
2795,5643.22,1,high
2795,5643.22,1,high
2801,5585.16,1,low
2801,5585.16,1,low
2801,5585.16,1,low
2806,5651.62,1,high
2806,5651.62,1,high
2806,5651.62,1,high
2806,5651.62,1,high
2814,5593.4800000000005,1,low
2816,5631.18,1,high
2827,5560.95,1,low
2827,5560.95,1,low
2833,5646.95,1,high
2833,5646.95,1,high
2835,5583.71,1,low
2841,5581.79,1,low
2844,5651.37,1,high
2844,5651.37,1,high
2844,5651.37,1,high
2852,5504.33,1,low
2856,5552.99,1,high
2863,5546.3,1,high
2865,5480.54,1,low
2870,5522.47,1,high
2875,5402.62,1,low
2875,5402.62,1,low
2875,5402.62,1,low
2875,5402.62,1,low
2886,5495.14,1,high
2889,5441.72,1,low
2892,5497.91,1,high
2895,5406.96,1,low
2895,5406.96,1,low
2914,5636.27,1,high
2914,5636.27,1,high
2919,5604.53,1,low
2927,5670.81,1,high
2927,5670.81,1,high
2930,5614.05,1,low
2940,5615.08,1,low
2946,5733.57,1,high
2946,5733.57,1,high
2946,5733.57,1,high
2952,5674.49,1,low
2952,5674.49,1,low
2959,5725.36,1,high
2967,5698.99,1,low
2967,5698.99,1,low
2975,5741.03,1,high
2978,5712.06,1,low
2978,5712.06,1,low
2982,5767.37,1,high
2982,5767.37,1,high
2982,5767.37,1,high
2982,5767.37,1,high
2986,5721.01,1,low
2991,5763.78,1,high
3004,5765.14,1,high
3004,5765.14,1,high
3004,5765.14,1,high
3008,5681.28,1,low
3014,5674.0,1,low
3014,5674.0,1,low
3014,5674.0,1,low
3014,5674.0,1,low
3023,5718.78,1,high
3026,5677.37,1,low
3026,5677.37,1,low
3030,5746.02,1,high
3036,5753.21,1,high
3043,5686.85,1,low
3043,5686.85,1,low
3052,5796.8,1,high
3052,5796.8,1,high
3059,5764.76,1,low
3059,5764.76,1,low
3076,5871.41,1,high
3076,5871.41,1,high
3084,5804.4800000000005,1,low
3084,5804.4800000000005,1,low
3094,5878.46,1,high
3094,5878.46,1,high
3094,5878.46,1,high
3094,5878.46,1,high
3100,5840.25,1,low
3107,5872.17,1,high
3107,5872.17,1,high
3112,5824.79,1,low
3118,5821.17,1,low
3123,5863.04,1,high
